swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,0.036839724999992995,0.0368391589999999,2714461.087861514,2714461.087861514,0.36839724999992995,0.36839724999992995,27.14461087861514,1,0.036839724999992995,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,0.06072618100000682,0.06072592200000004,1646736.1910999932,3293472.3821999864,0.6072618100000682,0.3036309050000341,16.46736191099993,1,0.06072618100000682,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,0.24093548400003328,0.240920829,415048.86843478057,4150488.684347806,2.409354840000333,0.24093548400003326,4.150488684347806,1,0.24093548400003328,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,0.6957670780000171,0.6956504140000002,143726.26006888694,4311787.802066607,6.957670780000171,0.23192235933333905,1.4372626006888694,1,0.6957670780000171,0.0,ok
n_cells,100,1.0,0.01,100,True,2.0,,100000,10000000,2.275123438000037,2.274920828,43953.65909812159,4395365.909812159,22.75123438000037,0.2275123438000037,0.43953659098121595,1,2.275123438000037,0.0,ok
n_cells,1000,1.0,0.01,1000,True,2.0,,100000,100000000,22.693736158999968,22.690831568,4406.502274432305,4406502.274432305,226.93736158999968,0.2269373615899997,0.04406502274432305,1,22.693736158999968,0.0,ok
n_cells,10000,1.0,0.01,10000,True,2.0,,100000,1000000000,228.711488504,228.679731135,437.2320807061298,4372320.807061298,2287.11488504,0.228711488504,0.004372320807061298,1,228.711488504,0.0,ok
n_cells,100000,1.0,0.01,100000,True,2.0,,100000,10000000000,2300.12965266,2299.8708617479997,43.475810106771306,4347581.010677131,23001.2965266,0.23001296526599999,0.00043475810106771305,1,2300.12965266,0.0,ok
