swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,1.5650136470794678,1.54,63897.206383224744,63897.206383224744,15.650136470794678,15.650136470794678,0.6389720638322474,1,1.5650136470794678,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,10.10101580619812,12.579999999999998,9899.99440834838,19799.98881669676,101.0101580619812,50.5050790309906,0.09899994408348381,1,10.10101580619812,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,27.586106538772583,50.1,3625.0131876873916,36250.131876873915,275.86106538772583,27.586106538772583,0.03625013187687392,1,27.586106538772583,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,27.029715061187744,50.53,3699.6320447192234,110988.9613415767,270.29715061187744,9.009905020395914,0.036996320447192234,1,27.029715061187744,0.0,ok
n_cells,100,1.0,0.01,100,True,2.0,,100000,10000000,28.13356852531433,52.84,3554.4726546161714,355447.26546161715,281.3356852531433,2.8133568525314328,0.03554472654616171,1,28.13356852531433,0.0,ok
n_cells,1000,1.0,0.01,1000,True,2.0,,100000,100000000,33.52469778060913,81.69,2982.875510300366,2982875.5103003657,335.2469778060913,0.3352469778060913,0.029828755103003656,1,33.52469778060913,0.0,ok
