swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,20.812153624000075,20.804779917,4804.884771015836,4804.884771015836,208.12153624000075,208.12153624000075,0.04804884771015836,1,20.812153624000075,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,20.854146088999983,20.851476519000002,4795.2095268358835,9590.419053671767,208.54146088999983,104.27073044499991,0.047952095268358835,1,20.854146088999983,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,24.19115172699992,24.18769671900001,4133.742829961638,41337.428299616375,241.9115172699992,24.19115172699992,0.041337428299616376,1,24.19115172699992,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,24.308568128999923,24.30506098100001,4113.7758287252145,123413.27486175644,243.08568128999923,8.102856042999974,0.04113775828725215,1,24.308568128999923,0.0,ok
n_cells,100,1.0,0.01,100,True,2.0,,100000,10000000,25.12373295100008,25.120253409,3980.300228275567,398030.0228275567,251.2373295100008,2.512373295100008,0.03980300228275567,1,25.12373295100008,0.0,ok
n_cells,1000,1.0,0.01,1000,True,2.0,,100000,100000000,45.83652959299991,45.830024893,2181.6660399017615,2181666.0399017613,458.3652959299991,0.4583652959299991,0.021816660399017612,1,45.83652959299991,0.0,ok
