swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,4.949087347000045,4.937611272,20205.745623102877,20205.745623102877,49.49087347000045,49.49087347000045,0.20205745623102878,1,4.949087347000045,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,1.8005251150000277,1.7960804040000014,55539.35302924029,111078.70605848057,18.005251150000277,9.002625575000138,0.5553935302924029,1,1.8005251150000277,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,1.7816426470000124,1.7772573250000008,56127.97839588272,561279.7839588273,17.816426470000124,1.7816426470000124,0.5612797839588272,1,1.7816426470000124,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,1.821191644999999,1.816181652000001,54909.103209728404,1647273.0962918522,18.21191644999999,0.6070638816666664,0.549091032097284,1,1.821191644999999,0.0,ok
n_cells,100,1.0,0.01,100,True,2.0,,100000,10000000,3.731373222000002,3.721562384000002,26799.784972032463,2679978.497203246,37.31373222000002,0.3731373222000002,0.26799784972032464,1,3.731373222000002,0.0,ok
n_cells,1000,1.0,0.01,1000,True,2.0,,100000,100000000,3.7228937700000415,3.7124679369999996,26860.825523903917,26860825.523903918,37.228937700000415,0.037228937700000415,0.2686082552390392,1,3.7228937700000415,0.0,ok
n_cells,10000,1.0,0.01,10000,True,2.0,,100000,1000000000,7.044532009000022,7.025673202,14195.407143049533,141954071.43049535,70.44532009000022,0.007044532009000022,0.14195407143049535,1,7.044532009000022,0.0,ok
n_cells,100000,1.0,0.01,100000,True,2.0,,100000,10000000000,72.93170150700007,72.282017884,1371.1458519914263,137114585.19914263,729.3170150700007,0.007293170150700007,0.013711458519914262,1,72.93170150700007,0.0,ok
