swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,coupling,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
n_cells,1,1.0,0.01,1,True,2.0,,knn8,100000,100000,0.037206648000051246,0.03720785900000001,2687691.726485607,2687691.726485607,0.37206648000051246,0.37206648000051246,26.876917264856072,1,0.037206648000051246,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,knn8,100000,200000,0.060368400000015754,0.06035942500000013,1656495.7825613052,3312991.5651226104,0.6036840000001575,0.30184200000007877,16.564957825613053,1,0.060368400000015754,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,knn8,100000,1000000,0.24124978999998348,0.24122714300000014,414508.1328361233,4145081.3283612328,2.4124978999998348,0.24124978999998348,4.145081328361233,1,0.24124978999998348,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,knn8,100000,3000000,0.6994341329999543,0.6994122219999994,142972.7193482657,4289181.580447971,6.994341329999543,0.23314471099998474,1.429727193482657,1,0.6994341329999543,0.0,ok
